Ticker,BH,MDD,R2,Slope,AC5,Align,HitUp,HitDn,UDgap,nUp,nDn,Name,Sector,MCap,MomGap,HoldFit,TimingEdge,Type,Lean,종목구분,섹터구분,구획,추세성,방향,유형3,섹터성격,종목성격,셀4,섹터medR2,추세타이밍_정밀
088980,-3.4031413612565453,-10.100166944908183,0.4141345555041303,-0.0001566820692534,-0.1531762255181876,0.4914285714285714,0.5301204819277109,0.5434782608695652,-0.3591082263299183,83,92,맥쿼리인프라,기타,52346,-1.3357778941854304,0.2963730460720711,-0.3895835013409776,홀드형(추세추종),0.6859565474130487,홀드,홀드,홀드-홀드,타이밍형,우하향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.3707,False
090430,-9.967845659163988,-36.40218049666869,0.0010811824504234,-3.2219147769174986e-05,-0.040140386648472,0.4581005586592179,0.4230769230769231,0.4933333333333333,-0.7422245765337065,104,75,아모레퍼시픽,생활.화장,65395,-7.025641025641022,-1.1134512262650824,0.2413985584427329,타이밍형(기술분석유효),-1.3548497847078154,타이밍,타이밍,타이밍-타이밍,타이밍형,우하향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.565,False
095340,364.1775983854692,-35.46125461254612,0.9193585734105796,0.0067782251751704,0.0264157764116406,0.5698924731182796,0.5988023952095808,0.6842105263157895,-10.296356073429646,167,19,ISC,반도체장비,40380,-8.54081311062087,0.5548908705691705,-0.1326352963815937,홀드형(추세추종),0.6875261669507642,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.8806,False
095610,804.2183622828784,-28.14526588845655,0.9139636932654472,0.006347761795657,0.0546767844060731,0.5420560747663551,0.6257309941520468,0.7906976744186046,-12.362409529553675,171,43,테스,반도체장비,33028,-16.49666802665578,1.441897761166352,0.1797822561389442,혼합형,1.2621155050274078,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.8806,False
096770,12.394067796610164,-31.108144192256336,0.3893506561886198,0.0008989086047221,0.1034816789425946,0.2342857142857143,0.2234042553191489,0.7407407407407407,-10.65909788811351,94,81,SK이노베이션,에너지.보관,174462,-51.73364854215918,-0.4364514364362186,1.3777920923650786,타이밍형(기술분석유효),-1.8142435288012968,타이밍,타이밍,타이밍-타이밍,타이밍형,우상향,타이밍형,추세,타이밍,추세-타이밍,0.7885,True
097950,-16.861924686192463,-29.499072356215216,0.4176923002874994,-0.000604703099542,0.0168059932110162,0.3817204301075269,0.3333333333333333,0.5701754385964912,-3.125376227999449,72,114,CJ제일제당,생활.식품,29311,-23.68421052631579,-0.3897173730860929,0.2472926617431733,타이밍형(기술분석유효),-0.6370100348292662,타이밍,타이밍,타이밍-타이밍,타이밍형,우하향,타이밍형,타이밍,타이밍,타이밍-타이밍,0.3894,False
102110,286.57179510128583,-20.632503040880003,0.9543759457824896,0.0047753359535546,-0.1326815979738477,0.7526315789473684,0.7566137566137566,1.0,1.6462080001122148,189,1,TIGER 200,ETF,107616,-24.33862433862434,0.9962657128574216,-0.4839394154126046,홀드형(추세추종),1.480205128270026,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.9544,False
103590,224.6031746031746,-48.50798056904927,0.8946118051330254,0.0049846889135549,0.1349097691582063,0.5495049504950495,0.5738636363636364,0.6153846153846154,-3.580021096426589,176,26,일진전기,에너지.전송,37099,-4.152097902097907,-0.1287617738367895,-0.6731671948777582,저신호(애매),0.5444054210409688,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.8946,False
105560,78.7139689578714,-18.424170616113745,0.880153533320269,0.0019011318609235,-0.1586465562151931,0.6180555555555556,0.6180555555555556,,,144,0,KB금융,금융.은행,537352,,0.6818871053757881,,홀드형(추세추종),,타이밍,홀드,홀드-타이밍,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.754,False
108490,889.4162444157947,-38.70014771048744,0.8451882741006672,0.0077489009016518,-0.1671437265327997,0.5821596244131455,0.5885416666666666,0.4761904761904761,4.64021564811159,192,21,로보티즈,로봇,41992,11.235119047619053,1.0021698158166756,-0.6203134679814408,홀드형(추세추종),1.6224832837981165,홀드,홀드,홀드-홀드,추세형,우상향,추세형-우상향,추세,추세,추세-추세,0.8396,False
